district,date,pm2p5,greenness,total_rainfall,n_raindays,temp_min,temp_mean,temp_max,utci
Moshi,2022-11-01,20.7403845787048,NA,NA,NA,21.17985827,25.72769325,30.27552823,NA
Moshi,2022-12-01,31.7192306885353,NA,NA,NA,20.49248613,25.50813836,30.52379059,NA
Siha,2012-01-01,20.1933400262858,0.474319207,18.3,3,14.83666091,22.19177325,29.54688559,29.8780445752734
Siha,2012-02-01,18.2494449730959,0.459523864,41.5,4,15.83533307,22.66591591,29.49649876,29.9421236333052
Siha,2012-03-01,20.4677093844601,0.473100781,49.6,6,15.17796702,21.94660263,28.71523824,29.7000883095038
Siha,2012-04-01,18.8384460397253,0.481380407,127.9,6,16.1744884,21.8923149,27.6101414,24.3187888982338
Siha,2012-05-01,16.2276488755473,0.456128716,57,7,15.4201358,20.06855884,24.71698187,23.1488519764508
Siha,2012-06-01,16.1728556947679,0.409658128,5.6,2,14.26991234,19.345471,24.42102965,21.4692430613962
Siha,2012-07-01,24.058123100658,0.398983502,0,0,13.3836149,18.72501884,24.06642278,23.2252186711522
Siha,2012-08-01,13.7582240282707,0.345235337,0,0,13.70899734,19.21134494,24.71369254,25.9323927670312
Siha,2012-09-01,8.5958627716203,0.30577333,0,0,14.04060248,20.78274953,27.52489658,28.9986417157274
Siha,2012-10-01,20.4223006909599,0.31251081000000003,18.4,3,15.53225238,22.06956579,28.60687919,30.0257232968881
Siha,2012-11-01,19.3726539053662,0.337938113,127.2,2,15.56271119,22.23687861,28.91104602,26.9826198486123
Siha,2012-12-01,26.8587285204444,0.360849779,79.7,9,15.24423601,21.74445949,28.24468297,27.0275399495374
Siha,2013-01-01,19.9887991981237,NA,65.9,4,15.32491897,22.02620746,28.72749595,28.9012405382674
Siha,2013-02-01,18.1556003861182,NA,21.2,4,16.21717266,22.74527434,29.27337601,29.8215180824223
Siha,2013-03-01,21.3449041268419,NA,106.4,9,17.12781023,22.32828706,27.52876388,26.4789444911691
Siha,2013-04-01,19.7596367529014,0.5937666,117.9,9,16.62591291,22.40592654,28.18594018,22.8819217830109
Siha,2013-05-01,15.4486377371548,0.592028992,43.1,5,15.10813963,20.0449008,24.98166197,22.8575567703952
Siha,2013-06-01,15.4439959598237,0.583805357,6.3,2,13.46491379,18.87914808,24.29338237,21.8577502102609
Siha,2013-07-01,24.2556004144108,0.512950549,0,0,13.16609247,18.44146566,23.71683885,22.8772413793103
Siha,2013-08-01,11.5937436861179,0.482180025,0,0,13.71204157,19.02108327,24.33012497,25.7848359966358
Siha,2013-09-01,10.6818365064326,0.444801386,0,0,13.89532759,20.29496296,26.69459833,29.5755550883095
Siha,2013-10-01,17.4147325866037,0.433749126,16.4,3,15.0187102,21.81512892,28.61154764,31.9173759461731
Siha,2013-11-01,22.3008072195813,0.439539621,80.7,2,16.1374935,22.56084565,28.98419779,27.5587678721614
Siha,2013-12-01,30.2965690966932,0.419096934,95.8,3,15.12219514,20.64554042,26.16888571,26.2645458368377
Siha,2014-01-01,15.7870912190764,0.502797461,24.2,5,15.35516252,22.06059615,28.76602979,29.4784861227922
Siha,2014-02-01,22.3900172057948,0.496773956,88,11,16.195348160000002,22.66157049,29.12779282,28.3571068124474
Siha,2014-03-01,27.2218588732196,0.491805678,82.7,10,16.12711056,21.53673209,26.94635362,26.4074137931034
Siha,2014-04-01,20.9550774914057,0.644057007,95.2,10,16.21746391,22.0001628,27.78286169,23.0494575273338
Siha,2014-05-01,14.1519793347935,0.529571628,46.9,6,14.93692028,19.70434617,24.47177206,20.4356265769554
Siha,2014-06-01,10.9741824391377,0.536827505,8.8,2,13.87621363,19.3112721,24.74633058,19.8656349873844
Siha,2014-07-01,10.4834767307144,0.535457669,0,0,13.23661514,18.90567866,24.57474219,22.4207148864592
Siha,2014-08-01,9.28623064126492,0.521145412,0,0,13.95214267,19.92969266,25.90724264,25.8915180824223
Siha,2014-09-01,9.68881241015436,0.404278841,5.6,2,13.65296913,19.32401217,24.9950552,26.9796425567704
Siha,2014-10-01,15.1242685383651,0.24623392,16.1,1,15.73112491,21.9202744,28.1094239,28.3785155592936
Siha,2014-11-01,14.6772805458502,0.600155098,89.9,9,15.64363172,21.82277005,28.00190839,28.1600336417157
Siha,2014-12-01,28.5695352931852,0.624893418,79.3,2,15.04018387,21.17029584,27.30040781,26.4979646761984
Siha,2015-01-01,17.3540447107075,0.455414251,24.2,1,14.95862508,21.54335845,28.12809183,29.5558368376787
Siha,2015-02-01,13.7662650681199,0.457803701,49.6,4,15.76282599,22.55822334,29.35362068,30.2934188393609
Siha,2015-03-01,19.1328743394599,0.48188345,83.5,4,15.771126,22.40764693,29.04416786,29.8226492851134
Siha,2015-04-01,15.0488812648491,0.5027886,222.7,8,16.56076971,22.68791278,28.81505586,25.5031286795627
Siha,2015-05-01,13.0619621145541,0.597737822,75.5,1,15.67169372,20.97360953,26.27552535,21.5185323801514
Siha,2015-06-01,16.0218588916037,0.595123588,10.2,2,14.41193591,19.74945344,25.08697098,22.883717409588
Siha,2015-07-01,14.3929432164781,0.514703187,0,0,13.17325818,18.38006403,23.58686988,23.3924936921783
