district,date,pm2p5,temp_min,temp_mean,temp_max,utci,total_rainfall,greenness,n_raindays
Moshi,2019-08-01,18.1750000440157,16.81285582,21.41780302,26.02275021,27.7534259259259,17.7,0.484108232,3
Moshi,2019-09-01,14.2961539305173,17.99659513,22.82552828,27.65446144,31.2511111111111,5.9,0.491656864,2
Moshi,2019-10-01,19.1480770111084,18.93279117,23.60184032,28.27088947,27.2822222222222,107.7,0.517873802,6
Moshi,2019-11-01,24.1153846153846,18.53908987,23.89169534,29.24430082,28.1197222222222,138.3,0.597521528,10
Moshi,2019-12-01,41.6038458897517,19.71140542,23.36699811,27.0225908,27.6800925925926,135.6,0.636376691,11
Moshi,2020-01-01,27.2038461978619,20.47083976,25.13703984,29.80323991,28.7881481481481,118.2,0.589190733,8
Moshi,2020-02-01,26.9615383881789,20.33702347,25.50069144,30.6643594,29.3632407407407,44.4,0.584523679,4
Moshi,2020-03-01,28.9096154066233,20.16643244,25.32534215,30.48425186,28.8652777777778,235.1,0.580795617,16
Moshi,2020-04-01,25.9461538975055,17.39518155,23.42798081,29.46078007,22.6476851851852,467.1,0.580037878,6
Moshi,2020-05-01,14.2423076629639,15.23771773,20.5855849,25.93345208,25.3658333333333,101.5,0.64009493,10
Moshi,2020-06-01,16.330769263781,16.19465947,21.6146951,27.03473073,26.2051851851852,15,0.634466118,5
Moshi,2020-07-01,29.1519230695871,14.87060969,20.48193739,26.0932651,25.3217592592593,24.1,0.58204623,4
Moshi,2020-08-01,20.7134615091177,16.8171372,21.55498882,26.29284043,26.8977777777778,12.3,0.459580392,2
Moshi,2020-09-01,15.0115385055542,18.04156818,22.99912671,27.95668524,31.7098148148148,6,0.455748045,2
Moshi,2020-10-01,21.9980768790612,20.07878517,25.16148483,30.24418449,33.62,19.9,0.452548008,5
Moshi,2020-11-01,24.9134615017818,20.74410992,25.30141059,29.85871127,28.9069444444444,119.4,0.452941454,7
Moshi,2020-12-01,35.2499997065618,20.2518146,25.04865472,29.84549483,30.8464814814815,46,0.456641822,6
Moshi,2021-01-01,30.3250000660236,21.06816016,26.01495837,30.96175658,30.9453703703704,44.8,0.50523722,6
Moshi,2021-02-01,16.4461539341853,20.96323144,25.82725342,30.6912754,31.3059259259259,30,0.496355157,8
Moshi,2021-03-01,22.5576923443721,20.92462266,26.27390542,31.62318818,31.4971296296296,54.5,0.53946171,5
Moshi,2021-04-01,19.9096152599041,16.71079501,22.89935688,29.08791875,25.6489814814815,314.8,0.539279022,6
Moshi,2021-05-01,15.2115385165581,16.501453390000002,21.18064334,25.85983329,25.1460185185185,254.7,0.5379147019001167,1
