"","District","value.ID","value.O3_column_number_density","month","year","o3"
"263","moshi",1,117668.8515625,"01","2019","O3"
"264","moshi",1,117668.8515625,"01","2019","O3"
"265","moshi",1,117523.6171875,"01","2019","O3"
"266","moshi",1,117249.8125,"01","2019","O3"
"267","moshi",1,117530.59375,"01","2019","O3"
"268","moshi",1,117530.59375,"01","2019","O3"
"269","moshi",1,117530.59375,"01","2019","O3"
"270","moshi",1,117530.59375,"01","2019","O3"
"271","moshi",1,117637.1484375,"01","2019","O3"
"272","moshi",1,117668.8515625,"01","2019","O3"
"273","moshi",1,117668.8515625,"01","2019","O3"
"274","moshi",1,117668.8515625,"01","2019","O3"
"275","moshi",1,117668.8515625,"01","2019","O3"
"276","moshi",1,117263.65625,"01","2019","O3"
"277","moshi",1,117530.59375,"01","2019","O3"
"278","moshi",1,117530.59375,"01","2019","O3"
"279","moshi",1,117530.59375,"01","2019","O3"
"280","moshi",1,117530.59375,"01","2019","O3"
"281","moshi",1,117249.8125,"01","2019","O3"
"282","moshi",1,117530.59375,"01","2019","O3"
"283","moshi",1,117530.59375,"01","2019","O3"
"284","moshi",1,117530.59375,"01","2019","O3"
"285","moshi",1,117668.8515625,"01","2019","O3"
"286","moshi",1,119273.1328125,"02","2019","O3"
"287","moshi",1,118786.4296875,"02","2019","O3"
"288","moshi",1,119213.6484375,"02","2019","O3"
"289","moshi",1,118939.515625,"02","2019","O3"
"290","moshi",1,118939.515625,"02","2019","O3"
"291","moshi",1,118707.875,"02","2019","O3"
"292","moshi",1,118923.46875,"02","2019","O3"
"293","moshi",1,119174.203125,"02","2019","O3"
"294","moshi",1,118958.28125,"02","2019","O3"
"295","moshi",1,118958.28125,"02","2019","O3"
"296","moshi",1,118712.1171875,"02","2019","O3"
"297","moshi",1,118852.2265625,"02","2019","O3"
"298","moshi",1,119022.09375,"02","2019","O3"
"299","moshi",1,119039.9765625,"02","2019","O3"
"300","moshi",1,119292.21875,"02","2019","O3"
"301","moshi",1,119292.21875,"02","2019","O3"
"302","moshi",1,119175.3515625,"02","2019","O3"
