"","District","value.ID","value.absorbing_aerosol_index","month","year"
"286","moshi",1,-1.43551552295685,"12","2018"
"287","moshi",1,-1.41653144359589,"12","2018"
"288","moshi",1,-1.51406764984131,"12","2018"
"289","moshi",1,-1.43551552295685,"12","2018"
"290","moshi",1,-1.43551552295685,"12","2018"
"291","moshi",1,-1.43551552295685,"12","2018"
"292","moshi",1,-1.51555490493774,"12","2018"
"293","moshi",1,-1.51555490493774,"12","2018"
"294","moshi",1,-1.4414176940918,"12","2018"
"295","moshi",1,-1.4414176940918,"12","2018"
"296","moshi",1,-1.43551552295685,"12","2018"
"297","moshi",1,-1.43634867668152,"12","2018"
"298","moshi",1,-1.42298018932343,"12","2018"
"299","moshi",1,-1.44971871376038,"12","2018"
"300","moshi",1,-1.51579177379608,"12","2018"
"301","moshi",1,-1.51555490493774,"12","2018"
"302","moshi",1,-1.51519584655762,"12","2018"
"303","moshi",1,-1.4414176940918,"12","2018"
"304","moshi",1,-1.43551552295685,"12","2018"
"305","moshi",1,-1.43551552295685,"12","2018"
"306","moshi",1,-1.41653144359589,"12","2018"
"307","moshi",1,-1.41653144359589,"12","2018"
"308","moshi",1,-1.42298018932343,"12","2018"
"309","moshi",1,-1.42298018932343,"12","2018"
"310","moshi",1,-1.35826325416565,"12","2018"
"311","moshi",1,-1.31820070743561,"12","2018"
"312","moshi",1,-1.51555490493774,"12","2018"
"313","moshi",1,-1.51555490493774,"12","2018"
"314","moshi",1,-1.4414176940918,"12","2018"
"315","moshi",1,-1.4414176940918,"12","2018"
"316","moshi",1,-1.4414176940918,"12","2018"
"317","moshi",1,-1.4160567522049,"12","2018"
"318","moshi",1,-1.32666552066803,"12","2018"
"319","moshi",1,-1.41860938072205,"12","2018"
"320","moshi",1,-1.42298018932343,"12","2018"
"321","moshi",1,-1.42298018932343,"12","2018"
"322","moshi",1,-1.30062246322632,"12","2018"
"323","moshi",1,-1.51555490493774,"12","2018"
"324","moshi",1,-1.51555490493774,"12","2018"
"325","moshi",1,-1.4414176940918,"12","2018"
"326","moshi",1,-1.4414176940918,"12","2018"
